iter	Passed	Remaining
969	8210	17183
970	8223	17182
971	8238	17188
972	8254	17197
973	8267	17196
974	8276	17190
975	8287	17186
976	8298	17183
977	8310	17181
978	8319	17174
979	8330	17171
980	8341	17168
981	8354	17168
982	8362	17158
983	8373	17154
984	8383	17149
985	8391	17140
986	8401	17135
987	8411	17128
988	8419	17120
989	8433	17123
990	8445	17120
991	8455	17115
992	8465	17109
993	8478	17110
994	8489	17106
995	8505	17114
996	8516	17110
997	8526	17103
998	8539	17104
999	8546	17092
1000	8557	17088
1001	8568	17086
1002	8580	17083
1003	8592	17082
1004	8604	17080
1005	8619	17084
1006	8628	17076
1007	8634	17063
1008	8645	17060
1009	8655	17053
1010	8667	17052
1011	8677	17046
1012	8684	17035
1013	8693	17026
1014	8709	17033
1015	8750	17088
1016	8760	17081
1017	8771	17076
1018	8783	17075
1019	8792	17068
1020	8800	17057
1021	8806	17044
1022	8814	17035
1023	8823	17026
1024	8834	17022
1025	8841	17011
1026	8852	17005
1027	8860	16997
1028	8872	16994
1029	8881	16986
1030	8892	16982
1031	8899	16971
1032	8908	16962
1033	8915	16951
1034	8922	16940
1035	8928	16925
1036	8935	16914
1037	8942	16902
1038	8947	16887
1039	8954	16875
1040	8960	16861
1041	8967	16850
1042	8976	16842
1043	8982	16828
1044	8989	16817
1045	8996	16806
1046	9002	16793
1047	9011	16784
1048	9019	16774
1049	9029	16768
1050	9038	16761
1051	9050	16759
1052	9056	16745
1053	9062	16732
1054	9088	16755
1055	9131	16810
1056	9141	16804
1057	9150	16796
1058	9158	16785
1059	9166	16776
1060	9175	16768
1061	9184	16759
1062	9193	16751
1063	9197	16735
1064	9203	16722
1065	9213	16715
1066	9220	16703
1067	9238	16712
1068	9244	16699
1069	9254	16692
1070	9260	16678
1071	9271	16675
1072	9280	16667
1073	9288	16656
1074	9296	16647
1075	9303	16636
1076	9313	16630
1077	9324	16625
1078	9339	16627
1079	9347	16617
1080	9352	16603
1081	9359	16590
